Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/05/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
China,CHN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,80000,57000000,265000000,430000000,636000000,1258000000,1659000000,1875000000,2314000000,3194000000,3393000000,3487000000,4366000000,11156000000,27515000000,33787000000,35849200000,40180000000,45439000000,45644000000,41014000000,42095300000,47053000000,53073618897,57900937467,68117272181,1.04109E+11,1.24082E+11,1.56249E+11,1.71535E+11,1.31057E+11,2.43703E+11,2.80072E+11,2.41214E+11,2.90928E+11,2.68097E+11,2.42489E+11,1.7475E+11,1.66084E+11,2.35365E+11,1.8717E+11,2.53096E+11,3.33979E+11,
Cote d'Ivoire,CIV,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,30699999.9,15699999.9,18699999.9,51000000,32600000,69060000,44780000,14650000,83310000,74750000,94659999.9,32750000,47469999.9,37530000,21739999.9,29160000,70750000,87510000,51700000,18489999.9,48434429.6,18524885.9,69053843.7,175153533.4,117538566.8,211760840.4,269194529.6,415458076.4,760099126.7,235348766.2,234701731.5,272679898.3,212580417.5,165390571.2,282979831,349059586.5,350964618.6,443801751.4,468377743.9,397624744.3,358468317.3,301972462.5,330255520.7,407592122.1,439356961.2,494408755.8,577871524.2,975014998.8,620330654.4,848881139.4,712915894.5,1392435143,
Cameroon,CMR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,16000000,1700000,3299999.9,3100000,21600000,27100000,16399999.9,8710528.859,40548470.54,62099933.68,129827990,135391025.4,111440362.7,213821207.6,17667655.87,316229050.2,-90700157.51,115925994.9,92362479.48,-85734446.55,-112831336.8,-14498049.75,29203775.78,5120733.123,3674320.509,15105727.29,104417058.4,149614497.8,55231294.16,35009801.84,159708006.2,-11668387.38,505256043.3,334888535.9,67984855.64,243601636.5,59122291.34,189581294.6,20995513.74,746276649,536265313.2,653266626.6,527363935.6,547404749.8,725854540.9,694336734.9,663893595.2,814458940.9,765092012.8,1024779238,675186993.7,963531503.5,
"Congo, Dem. Rep.",COD,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,6429999.9,5740000,10470000,17719999.9,51979999.9,9119999.9,238430000,18190000,97680000,143849999.9,109620000,69629999.9,-2370000,-192789999.9,-32450000,69189999.9,5549999.9,-55079999.9,-3939999.9,-6110000,-14460000,12390000,-730000,6870000,-1500000,-22350000,24789999.9,-44350000,61329999.9,11160000,94190399.9,102221899.9,187598693.6,391254723.5,409032814.4,180000000,256100000,1808000000,1726800000,-243200000,2742300000,1596024304,2891607809,1697585831,1499572152,1165720010,932374669.4,1047979483,1407563588,1350994226,1498084808,1677673790,
"Congo, Rep.",COG,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,5099999.9,48700000,66299999.9,68299999.9,46100000,15400000,2379999.9,1986323.6,4050415.527,16481632.66,40032269.02,30842951.46,35349296.93,56079518.98,34948545.69,12689672.8,22439698.31,43448956.41,9095236.529,-7125213.1,22551558.2,32753529.6,2739032.5,286054322,2990000,112782084.6,62427618.58,-49200799.91,-169664715.5,-68298651.84,-98141674.35,-135479673,200095651.5,220038914.2,88557997.22,801314933.9,1489015781,1424251936,1947972913,1189051286,1522228646,298678855.1,-69249948.22,1878859499,2891102397,4279839199,50608700.35,4416953734,4315250918,-1427679257,-1983178867,3690808232,
Colombia,COL,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,43000000,43128140,18457070,23842600,40889760,37068850,25000000,65000000,107000000,127000000,157137700,265000000,366000000,618000000,584000000,1023000000,674000000,319000000,203000000,576000000,500000000,456900000,728700000,959100000,1446497261,968368273.6,3111676590,5562216362,2828826262,1507907130,2436459923,2541942612,2133698124,1720493455,3115635874,10235417315,6750625311,8885764398,10564155796,8034746177,6429989613,14647048638,15039979139,16210419016,16168701715,11620532646,13857937721,13700880445,11298692774,13989154028,7458624984,9381290610,17047551844
Comoros,COM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,1919999.9,,0,0,150000,0,0,0,0,7546566.717,3767051.259,3266400.378,393003.1038,2506163.334,-1446978.125,190704.7806,177714.24,889525.0177,510000,20000,384216.3,271000,93636.1151,1145914.995,430423.4793,793243.7346,672560.3786,558865.8,778420.2139,7691947.289,4650574.157,13839598.17,8350406.722,23118440.54,10375197.46,4231644.417,4684558.675,4936699.51,3569823.73,3919473.025,5672348.129,4300803.966,3875846.081,4024772.182,
Cabo Verde,CPV,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-8734.1784,2786140.595,597911.68,174023.2565,252601.2166,1744334.228,450471.753,3644068.127,2128443.354,26180647.12,28528007.74,11576610.74,6793745.394,53935025.35,34202238.38,9010186.206,14759046.68,39216510.81,67638273.8,80513541.33,131539968,191764359.2,210903689.3,126003552.2,116200563.6,102246382.2,128009964.8,89297444,180589795.4,96071472.84,126312006.1,111711633.7,103550532.6,122921295,67659060.31,91527343.85,127277227.9
Costa Rica,CRI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,26345009.9,22100000,25846010,37700000,46310009.9,69022010,61952010,62500000,48600000,43500000,52600000,69600000,28900000,60700000,55900000,69900000,61000000,80300000,122200000,101300000,162500000,178400000,226000000,246700000,297600000,336900000,426950000,409440000,614500000,619469212,723426415.3,621846413.2,723172624.8,774386239.8,1083718486,1528787464,1801002598,2241492021,2436112218,1614614468,1906923793,2733268840,2696295211,3205384977,3242149797,2955521681,2620435491,2924906991,3014543618,2719031329,2103003649,3592802258,
Caribbean small states,CSS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,347578499.7,342916171.5,298679837,269180299.9,305300684.4,178387131.5,162120408.6,100970960.8,117240333.3,115577068.8,316929902,443005555.6,274283333.4,228691666.7,115297352.9,43155758.85,-26018518.42,89487037.04,57234874.53,105774489.1,377432455,526483875.5,572953464.2,653965212.1,885069632.5,835726537.7,839764566.1,1685532067,1580922408,1666996131,1708338669,2038044659,2134414351,2329939021,2533129347,3284457854,3749496377,3938759458,6617474875,3006666779,2587458156,2241090590,672346250.5,928627334.7,3079599971,2928917702,2882439810,1902244663,2833323624,4017315608,3755450878,2777203183,-5372940.17
Cuba,CUB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70502234.64,69702234.64,-1508379.888,69296089.39,146435754.2,133083798.9,172681564.2,126924996.8,203230453.6,155743256.3,145700400.7,
Cayman Islands,CYM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,1830000,2540000,41009999.9,25719999.9,75109999.9,56549999.9,19559999.9,97120000,19930000,17520000,668240000,453980000,14279999.9,104739999.9,22430000,79459999.9,49039999.9,-8539999.9,27489999.9,459759999.9,467069999.9,50310000,1231710000,3150870000,4354110000,6475830000,9358723000,2133108000,2802975000,2602570000,3703461000,9506484000,24820937000,28210535000,19555735000,20298045000,20965962639,31131855108,21489604741,34907994324,46040609771,80501525457,2684234739,2506466934,173644548.8,1080420249,6171022541,25893089207,
Cyprus,CYP,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,20199999.9,29600000,36399999.9,37200000,32399999.9,18100000,32399852.81,41409229.36,57026191.23,70533030.88,84973393.79,78304678.27,71520842.97,68357791.44,52686514.25,57954233.56,46319251.91,51964617.64,62147895.56,69749822.21,126615461.4,81820990.74,107441112.7,83432989.4,75174068.6,243136818.6,233749453.8,546519214.6,345398143.2,813054280.1,854874285.7,944742874,1103449726,908147518,1118841809,1161973511,1871897927,2294635571,12297296307,64632059145,31031904287,40445860585,69972767554,25966316071,51738978689,28960532080,8508203489,14406568776,-1110259659,52834747336,-26023544827,-33356590448,
Czechia,CZE,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,654278424.7,878231739.7,2567564642,1435279128,1286492873,3700169388,6312596676,4987079129,5640707236,8496609036,2021275746,6423465151,13730164683,7132002408,13815656004,8815393022,5271613702,10167834375,4188736491,9433199805,7357578653,8088661930,1699914617,10850612308,11234740946,8324668391,10752120871,8515481808,7611819079,
Germany,DEU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,1103338755,1897270696,2102302343,2176992344,690496822.9,1321369938,949983808.6,1603458933,1732552304,-186573401.2,-415839559.6,468263695.1,997855446.9,590664407,531108429,1192024600,1620170657,-1508574621,5173426485,2556702846,4741534934,-2137728434,479814189.3,7517248751,12041505213,15591797829,18638443894,29526509277,86035665071,2.48007E+11,56948542387,51268214891,65401516009,-20408419557,59835195025,87444159239,50847183837,30954735498,56701916795,86037502102,97535403953,65443087632,67199694459,19488312315,62422464519,64707795193,1.09506E+11,1.66868E+11,71679659389,1.42779E+11,73654317282,
Djibouti,DJI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,400000,30000,160000,-30000,1980000,700000,170000,220000,20000,-60000,-50000,220000,230000,1230000,420000,600000,-130000,60000,2290106.403,2290106.403,1423579.656,1423579.656,3218527.917,3263542.294,3100365.179,3173513.541,3212901.12,3286049.482,3392958.626,3432346.206,14224542.96,38543559.85,22203341.19,108287709.4,195351140.3,227654582.2,96859684.56,36501032.52,79000230.7,109998255.7,286004467.7,152998238.8,143832186.4,159997974.4,164929862,170000000,174999015.3,158230011,166750130.8,
Dominica,DMA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,0,80000,0,0,0,4799999.9,200000,200000,2300000,3000000,5185185.185,13518518.52,11925925.93,17196296.3,12888888.89,15222222.22,20411111.11,13200000,22600000,54092592.59,17800000,21114814.81,6511111.111,17955555.56,17596296.3,17115925.93,20110637.04,31472140.74,26173948.15,19235559.26,25907525.93,40486774.81,56548262.96,42420685.56,24341705.19,14192972.59,23152398.15,17915757.41,12349892.8,7160376.509,42264926.11,22677207.69,78283172.03,63039788.69,21535037.83,33778931.01,
Denmark,DNK,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,104000000,125000000,164000000,212000000,240000000,266942015.5,-190295662.8,75799728.5,89464875.42,223893245.4,104119701,99454249.9,133850097.3,60130799.99,-15356842.12,111103417.6,163266341.1,84660817.12,503338112.9,1089565260,1132146350,1552515351,1017385349,1712766178,5006178362,4139423320,773444115.8,2791671359,6674661469,16847919226,36013297907,9286404806,4430703179,1184825160,-8804165491,12847031342,2385249288,11809448518,2191215666,3771059440,-11767861925,13558894634,-16349825685,680338945.9,6577348987,1850770715,7804020827,3607276300,8764023726,-3801733789,1582721537,14707994987,
Dominican Republic,DOM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,71600000,65000000,43500000,34500000,53600000,63900000,60000000,71500000,63600000,17100000,92700000,79700000,-1400000,48200000,68500000,36200000,50000000,89000000,106100000,110000000,132800000,145000000,179700000,190700000,208100000,417400000,134200000,408700000,668900000,1344900000,989000000,1087900000,926000000,616530000,934480000,1118400000,1528700000,2252900000,2728400000,1695300000,1820200000,2197500000,3415900000,1599900000,2385300000,2227300000,2516100000,3597900000,2744500000,2829200000,2460600000,3255000000,
Algeria,DZA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,80120000,600000,41490000,51000000,358000000,119000000,187000000,178452646.8,135152172.3,25692486.04,348669038.1,13207259.36,-53569192.64,417641.1628,802668.8741,397788.2971,5316528.378,3711537.9,13018265.02,12091646.8,334914.5642,11638686.45,30000000,1000,1000,1000,270000000,260000000,606600000,291600000,280100000,1113105541,1064960000,637853027,884749028,1156000000,1841000000,1686736540,2638607034,2746930734,2300369124,2571237025,1500402453,1691886708,1502206171,-537792920.9,1638263954,1230243451,1466116068,1381200050,1143918160,869176318.1,
East Asia & Pacific (excluding high income),EAP,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,417482884.6,514955384.5,533905576.7,1023388711,1164907901,1873082206,1404340315,1001681449,1135772960,924555968.9,1376936767,2273131439,2402953612,2818960513,2837398519,2948205676,3115986509,3923247338,6738630060,8353613405,10395966799,13163288082,21343807238,38807970566,45467354630,50702277672,58560367769,63348378747,59556894377,53023921805,48073486630,52300514762,63365890143,68473375421,83287174353,1.29274E+11,1.52545E+11,1.93558E+11,2.11787E+11,1.56052E+11,2.98453E+11,3.37211E+11,3.04703E+11,3.61775E+11,3.29634E+11,3.06053E+11,2.20265E+11,2.39724E+11,3.1105E+11,2.61117E+11,3.02744E+11,4.25466E+11,45968484254
Early-demographic dividend,EAR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,1914402865,1808573667,1117654873,1654247187,-1153401256,5340130964,1366345486,2294355143,3339114290,1990379983,397730711,12754228753,14991603285,8922933501,8873070126,5701590832,6451387070,3547341590,8503024878,8275108510,11467360413,15783449697,17281763502,18195006271,29768906884,33499041126,41162199116,58082008244,51007976067,60996601071,51281457720,59935106069,47270188920,42967097271,63734866728,1.10761E+11,1.54554E+11,1.9431E+11,2.35422E+11,1.70363E+11,1.86847E+11,1.93649E+11,1.84994E+11,2.18215E+11,1.87528E+11,2.17098E+11,1.98273E+11,2.12251E+11,2.21947E+11,2.12165E+11,1.99355E+11,2.68297E+11,85190076452
East Asia & Pacific,EAS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,1906973498,2243066837,2650359016,2014579663,3526963191,3396343572,3451126412,3025173435,4079689976,4786996830,5994729554,9003513279,8478001554,9088217943,6385573831,7361236504,13718329643,21167805534,25777793319,23722887551,33599596974,27434684004,38089457275,59909061766,72331478087,89651923009,94206961320,1.09178E+11,98167597421,1.29579E+11,1.75113E+11,1.2748E+11,1.12947E+11,1.26752E+11,1.98738E+11,1.89046E+11,2.88014E+11,3.96067E+11,3.87381E+11,2.87566E+11,4.97025E+11,5.60738E+11,5.16809E+11,5.91247E+11,6.31305E+11,6.17329E+11,5.29195E+11,5.59989E+11,5.99064E+11,5.30661E+11,5.86804E+11,7.95674E+11,2.04809E+11
Europe & Central Asia (excluding high income),ECA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,58000000,45000000,43000000,79000000,64000000,114000000,10000000,27000000,34000000,75000000,18000000,95000000,55000000,46000000,113000000,99000000,125000000,115000000,354000000,663000000,719000000,865900000,2410900010,3636602000,2584916000,5103880000,6206025000,10398188000,8536401001,8744461182,7972453104,12882292446,12267823241,21409953083,36935783727,47604348941,89036476929,1.34743E+11,1.53019E+11,86701633193,85148972862,1.18909E+11,1.04627E+11,1.15087E+11,63259382920,53300249232,86541315904,66286463565,43386150037,70271401629,39495087180,82372048409,21599114936
Europe & Central Asia,ECS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,4502468280,6020436971,6617541587,9854035954,12799281521,10273246606,8273499392,12618809030,13854628515,17607056303,21045826582,16467838715,14710452956,15791206135,9970429000,16902908858,26305041187,39533396089,63558552469,80164206909,1.13097E+11,91204130712,89417535691,95534175652,1.00587E+11,1.50819E+11,1.56968E+11,1.90853E+11,3.54783E+11,6.1016E+11,8.55767E+11,4.56504E+11,4.15191E+11,3.89462E+11,4.41912E+11,1.02119E+12,1.28574E+12,1.88621E+12,1.25079E+12,6.61191E+11,7.49816E+11,1.07224E+12,8.09793E+11,7.595E+11,5.87804E+11,1.11758E+12,1.33742E+12,8.96503E+11,-2.61395E+11,4.61951E+11,1.71771E+11,4.82884E+11,39077589895
Ecuador,ECU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,88599999.9,162099999.9,80799999.9,52299999.9,76799999.9,95299999.9,-19900000,34500000,48600000,63400000,70000000,60000000,40000000,50000000,50000000,62000000,81000000,123000000,155000000,160000000,126000000,160000000,178000000,473720000,576330000,452480000,499680000,723950000,869980000,648410000,-23439367.91,538568575.2,783261009.6,871513414,836939593.9,493413835.5,271428852.5,193872526.9,1057404020,308629890.1,165893320.4,646084358.7,567417300.9,727081206.3,772389946.1,1322701337,764226868.1,629601412.3,1389406763,974522496.2,1094692901,647576150.9,
"Egypt, Arab Rep.",EGY,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,680000,2310000,30000,700000,130000,8000000,61000000,104777603.4,318166137.2,1216285716,548285715.1,752571429.6,293571429,490000000.7,729142857.6,1177571429,1217428571,947714285.7,1190000000,1250181818,734000000,253000000,459000000,493000000,1256000000,598000000,636000000,890550000,1076000000,1065300000,1235000000,509900000,646900000,237400000,1253300000,5375600000,10042800000,11578100000,9494600000,6711600000,6385600000,-482700000,2797700000,4192200000,4612200000,6925200000,8106800000,7408700000,8141300000,9010100000,5851800000,5122300000,
Euro area,EMU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,2687319466,3892857216,5017927466,6553991932,7696387691,6247329414,5074944909,7248983512,9372703584,10307935885,10484468783,9512933191,8274369140,9337466557,9314912358,9960639373,13220773735,23114251788,33951312059,45551979409,60745451146,55020865055,60351966221,59194428819,56543236301,79799727018,93626161604,90990871369,1.73217E+11,3.52402E+11,5.55032E+11,3.20365E+11,2.53271E+11,2.68978E+11,2.70126E+11,6.32977E+11,8.17911E+11,1.28146E+12,6.57122E+11,4.38151E+11,5.36184E+11,8.18246E+11,5.43525E+11,6.035E+11,3.84853E+11,7.86527E+11,5.92698E+11,4.81932E+11,-591349391.4,2.00419E+11,45820418669,2.175E+11,11739906740
Eritrea,ERI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,10,,36669547.22,40797036.65,45493.27759,83222099.9,27870106.7,12131626.4,22766165.8,24999786.5,24103664.8,1431553.8,15375609.7,7206504,39000000,91000000,91000000,39000000,41357999.9,43859000,46511000,49323000,52305000,55468000,61015000,67116000,73828000,70472000,
Spain,ESP,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,222000000,202000000,268000000,390000000,358000000,682635310.6,477622019.9,607674770,1178156262,1396810449,1492697190,1706766879,1782685066,1622388936,1771829760,1967804468,3450598177,4570700793,7020568174,8428379549,13983611812,12492782829,13275723087,10808165173,8772628137,8281607345,9801379213,9433660065,15714658309,19628574140,40509751188,28909416991,39359708554,30744905691,25268192651,27007774843,32927841460,68229666915,74088629877,9549813317,36609340306,26832032515,20848479096,47373243839,32943256863,23037070821,44253339408,31565354024,58626179995,25880652698,36630335496,43909506911,
Estonia,EST,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82271988.64,168371544.6,218447607.2,206807479.4,165850731.4,274049611.9,595587942.5,325892789.4,416214286.8,592889580.2,338234260.4,1038244664,1086893435,3057558405,1758167636,3033145920,1977264597,1866296947,2592255115,1119148299,1787341527,1097942107,1781648554,-715465129.9,925762256.7,1735775304,1232358348,3052870944,3616480318,7361224248,1463049640
Ethiopia,ETH,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,5845410.631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170000,3500000,17210000,14140000,21930000,288490000,260670000,69980000,134639999.9,349399999.9,255000000,465000000,545100000,265111675.5,545257102.2,222000573,108537544,221459581.4,288271568.3,628624806,278562822.2,1343876024,1855052154,2626517918,4142937496,4017159565,3360419369,2548743427,2395799881,4259445795,
European Union,EUU,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,2899569469,4101957483,5247233595,6849955524,8012974186,6594486585,4895513547,7411236947,9556880497,10674298740,10849499997,9811504830,8777233646,9639295533,9617570869,10479696702,14482696248,23850125598,36143075340,48464549240,64506841223,64773304817,63652598274,69609296375,72276352125,1.10527E+11,1.0998E+11,1.16731E+11,2.20144E+11,4.5258E+11,6.33987E+11,3.66253E+11,2.95344E+11,2.93508E+11,3.13836E+11,7.31279E+11,9.1186E+11,1.47751E+12,8.28461E+11,4.78991E+11,5.39583E+11,8.77648E+11,5.65178E+11,6.17107E+11,4.32552E+11,8.17238E+11,7.2259E+11,5.29619E+11,-19564127736,3.53735E+11,2.69986E+11,3.77482E+11,11739906740
Fragile and conflict affected situations,FCS,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,688569999.6,694550000.1,265599984.5,341784999.6,96138874.41,435463580.5,82121246.69,114816658.9,-129582797.6,167764191.9,-1328336627,358918746.3,595042323.4,360811656.2,355433566,1230770270,124745173.1,846898284.4,812906335,2377928501,1369011862,3510216609,3014080544,3528570067,3584403695,2751938438,4315996212,10428050253,8899520939,6932041021,9379447890,9408180769,8476214403,13554524635,12294722906,23847126318,23445482217,39483270562,43456231486,31750712873,35695180635,42273038439,44641659844,32221217699,16690046150,22086415923,20955062417,24529282318,22655592816,18853650009,12235464513,30394230434,
Finland,FIN,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,18000000,25000000,37000000,13000000,35000000,68270104.62,57984170.91,48060229.2,33797154.83,27528009.75,27949721.28,99646702.73,910574.1328,84470656.84,136184676.1,112511585.5,405308277.3,273394061.1,531741374.9,490175830.8,812172838.2,-232904201.9,396369713.7,863526070.9,277840045,1450710446,752969481.7,2454075989,12514915951,7797795099,13502068645,3224710300,8094575465,5965369887,6777097342,10867806671,4638725790,21979356205,19406664159,-8825823234,12221008932,-6008001205,4931090895,-4922279529,17528599997,17485137456,5124075141,17149122038,-10571698825,15611668562,-2487590239,23869274273,7300090870
Fiji,FJI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,6400000,6500000,8500000,15699999.9,14300000,14100000,7330000,17100000,12190000,10170587.69,36334087.82,36249750.06,36827764.64,31946263.97,23314315.29,21672150.93,8032725.264,16159396.5,31602682.5,30606741.57,-30386755.88,-40188200.05,37791314.98,-3243015.356,-31281482.11,-22683100.26,-72186987.81,-60193603.13,20334035.18,-147083835.8,591375.1146,41301896.35,30672578.33,40310494.54,250597673.1,172951928.7,583975309.3,464230334.1,679220489.3,308373711,178091735.6,217158525.7,277313672,243782754,377869372.3,205373209.1,391619655.4,387602565.3,468861002.9,322282826.1,239380737.9,409894560.5,
France,FRA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,621212781.7,525655900,656666980.5,1125479247,1846644388,1563849883,977422843.6,1896159372,2471468400,2588309413,3282773278,2469631625,1585298782,1725670869,2397989219,2595492780,3255870956,5139716802,8489906284,10303924629,13183285335,15152742090,21839501253,20754044036,15797125295,23736300874,21971888803,23047924755,29518429032,45971216472,41389082665,50142053919,51550483854,42350800678,35608535813,85137061931,78957053786,83777598395,67997446905,18422928062,38889439213,44205811127,32944663318,31589283791,5804878133,42825414106,32803666729,35868111746,77493098693,53499337504,14725353076,88427620691,
Faroe Islands,FRO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,20209300,,,,,,,,
Gabon,GAB,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,-700000,15699999.9,17399999.9,15900000,79599999.9,166900000,38700000,34899999.9,56546282.41,55048465.05,31522217.03,54575942.02,131738211.4,111844131.9,8124375.431,15091384.25,110249347.8,89806044.84,132550733.9,-30532121,73457901.59,-54589233.79,126940086.2,-113715590.7,-99602904,-195496960.3,-285112515.1,-114712203.8,132605754.2,89452781.63,278061232,-100615451,1160708.31,99666154.02,313970792,326161877.9,267805000,654808577.2,693511289,635674956.8,523939106.2,1123536919,677327365.5,324032442.4,1263109047,41707702.33,1243660160,1314029330,1379070816,1553136875,1716511506,1634824190,
United Kingdom,GBR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,1487998812,1771224349,1207963191,2722732320,4373743380,3318535790,3006207709,4426545754,3787370849,6469481160,10122844316,5879375698,5413259759,5178781726,-347322544.8,5476472897,8569621722,13074923702,26430921298,27108240789,41363405439,23244186242,23011210834,19686257927,19561337402,29129258041,32412668835,51311836384,1.09818E+11,1.29892E+11,1.6413E+11,56090924809,89760582753,36011240473,87059621382,2.52653E+11,2.03636E+11,2.09515E+11,2.53454E+11,14547108445,66734551294,27012050072,46750789728,54473175400,58890445253,45333483122,3.24813E+11,1.25359E+11,-25055440307,19790761929,1.32476E+11,5922252759,
Georgia,GEO,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,8000000,,,242500000,265300000,82300000,131466678.3,109871635.5,160398660.5,334891041.6,492732940,453107292,1171394522,1892093991,1602232456,660800885.3,920915812.7,1170087550,968196197.6,1046562195,1836879043,1735285392,1659819993,1930381395,1304946394,1382476633,551844400.6,1267373916,
